Item,Miles,Imports,Exports,Domestic
101,1399.6943404927492,12492,2923.5,0
103,0,0,484,
116,34.55644532513008,492052.5,462960,19488460
122,32.349920194268165,15348.5,108044,1223068
125,0,0,0,
149,2180.9568483194976,65802.5,14751,0
15,55.52437377285204,2039244.5,34187316.5,54413310
157,10.365219938378104,194566,319,26214010
161,0,0,0,
176,587.9579100748464,221597,345983,899610
181,2667.830377303261,3485,1628,0
187,448.9607197460919,61430,366880,255149.99999999997
191,537.8953353045118,20079.5,57319.5,99881
201,309.9616072553603,23016,158730.5,214640.00000000003
203,0,0,0,
205,0,0,0,
217,4755.552005186286,1287,1183,0
220,4745.185265043986,4269.5,211,0
222,57.82687905491873,20989.5,168910.5,418212
223,100.27847421714954,5789.5,159604,201395
224,6060.216666697946,2,0,0
234,745.2663694450538,37916,91587,122334
236,10.131033107148594,390828.5,58434087,84191930
249,4676.012678654522,34424,2144.5,0
257,8871.90572045297,921332,77019.5,0
260,152.00269332416684,3617.5,0,64592
267,138.03755174265441,51327,128638.5,924550
27,0.297239204673947,402.5,1519054.5,8388780
270,690.1635080421556,670121,189129.5,698910.0000000001
289,6935.533214780121,41672,4913,0
292,1302.6581048208106,69214.5,2119,7100
296,6574.474872135745,3990,769,0
311,0,0,0,
329,79.62268895943944,45479,251948,4871580
333,1327.7712990829937,203148,34576,70890
339,6265.7721951250005,55973.5,8390.5,0
358,221.89815028108103,206482.5,189072,959750
366,333.0886004594874,2348,1914,45310
367,2005.8217081053945,173244,23201.5,38100
372,45.78160731465833,152940.5,380736,4070780
373,19.76140896580591,6726.5,26292,409360
388,131.4258261566715,1518003.5,160299.5,12526070
393,375.2871843634844,107854.5,130039.5,301590
394,309.72888594841277,232262.5,210,814330
397,557.6214813291963,605655,30626.5,772720
399,650.1548835421942,55736.5,11420,62313
401,596.9262771714964,806154,82942,991370
402,4792.355219247937,4036,12595,0
403,219.3608829803447,436555.5,377370.5,3360970
406,1456.3295045687316,138986,10449.5,190690
407,1916.9630969833856,12955.5,3651,0
414,786.7887785302445,53182.5,20265,38720
417,228.2262918151487,38829.5,9257,267550
426,191.6429777803293,183019.5,115798,1298800.0000000002
44,75.04029885641265,188611.5,177683,3391710
446,15.451078756164593,48020,93378.5,3684530
449,236.76615878692067,45671,10322.5,390902
463,487.92094789474095,464498.5,229473,830328
486,2300.5162538340733,4200715.5,283012.5,7893
489,2846.676128125932,295777.5,0,0
490,86.11171127873064,111899,952898.5,8078480
495,884.7679382577077,130750,65605,596020
497,500.49970275923397,446338,121834,834610
507,8.985457196964429,4342.5,229198.5,1146680
515,177.31229104318953,148089,973482,4275108
521,464.9269452451682,83576.5,178703.5,876086
523,4745.751477058828,1,69,0
526,126.27617892722377,1449.5,6116,60464
530,0,0,0,105097
531,314.47494892275455,22010.5,97296.5,303376
534,202.94410530810418,48634.5,121991.5,1176610
536,495.928965167159,30040,89026.5,281499
544,79.53733632565675,93925,144200.5,1312960
549,0,0,0,
550,1399.7643467816545,24,0,0
552,1299.071777409082,87344,34177.5,201032
554,496.9493576264015,65821,18150,349888
56,3.958477971993938,631978,50742562.5,313948610
560,315.0587293157069,554473,448877,6756449
567,300.0757137813858,533890.5,180314,1688040
568,697.6536956697885,678008,175029,1016400
569,135.80099691299898,910.5,1648,35072
571,2014.713586124435,378313,9018,862
572,1240.2119611415678,389868.5,12798,238544
574,1854.3934918954467,872674.5,82333,176222
577,2193.2637083069053,17542.5,5654.5,30209
587,4434.4702704585225,7,258,0
591,0,0,0,
592,3859.5890800663424,57748,11200,34200
600,1313.1409599178796,144175,8367.5,12973
603,2462.187972767765,5520,14742.5,0
619,2087.9884140602167,81480,50750.5,612
656,4418.565695179192,1398168.5,36108.5,3450
661,5601.129711516423,464393.5,6003,0
667,5506.1149762970335,153912.5,9871.5,0
671,4883.855986371447,1446,25,0
677,605.0351160231468,3703,6665,29384.000000000004
68,0,0,0,
687,7522.4972189224345,70533,5975.5,0
689,4530.693082308652,122253.5,4179,0
692,8210.409704531325,1673,314,0
693,8774.80617526234,26363,1560,0
698,8221.201614347594,1322.5,277,0
702,6759.458454850355,3719.5,437,0
71,1037.6836449203538,171042.5,5669.5,160690
711,5954.628778240644,24712.5,2050,0
720,3773.688648970219,93568,758.5,815.9999999999999
723,6228.4245769975205,35831.5,9981.5,0
748,0,0,0,
75,991.1765213651543,1622965,40755.5,778710
754,0,0,40,
79,32.019915827654856,1579,57815.5,207499.99999999997
809,0,0,17,
826,2058.3343664110675,172978.5,188945.5,271363
83,0.982830234059622,1119.5,3444642,5447100
836,7223.375655690032,47768,5093.5,0
89,356.24778708226376,9364.5,22428.5,79554
94,0,0,0,
97,3530.296241794621,290,2,0
